Scheme,m,Commit_ms,Eval_ms,Verify_ms,Proof_bytes
Titan,18,6296.0,231.0,42.0,20121
Titan,20,13957.0,604.0,45.0,26259
Titan,22,44281.0,1304.0,53.0,34835
Titan,24,153410.0,3466.0,67.0,40876
Titan,26,548034.0,10248.0,91.0,41510
Dory,18,8750.0,3872.0,186.0,15216
Dory,20,29453.0,8320.0,204.0,16800
Dory,22,105250.0,19186.0,222.0,18384
Dory,24,376247.0,50731.0,240.0,19968
Dory,26,1374661.0,156456.0,260.0,21552
WHIR,18,234.56,419.12,2.4,247603
WHIR,20,1100.0,1900.0,2.72,278323
WHIR,22,4700.0,8000.0,3.0,300851
WHIR,24,21600.0,33900.0,3.3,329932
WHIR,26,93500.0,144380.0,3.62,355123
Kopis,18,16580.0,1802.0,549.0,27224
Kopis,20,64420.0,3793.0,1089.0,44760
Kopis,22,220925.0,9212.0,2182.0,78680
Kopis,24,860325.0,26002.0,3957.0,145368
Kopis,26,2449691.0,78008.0,6500.0,277592
Brakedown,18,258.0,589.0,667.0,6064057
Brakedown,20,1137.0,1124.0,1128.0,9549713
Brakedown,22,5527.0,2428.0,2078.0,16344425
Brakedown,24,29733.0,5648.0,4112.0,29757249
Brakedown,26,137014.0,15718.0,8198.0,56406297
hyrax,18,5156.0,44.0,44.0,16560
hyrax,20,15738.0,104.0,79.0,32944
hyrax,22,55165.0,311.0,150.0,65712
hyrax,24,203933.0,995.0,290.0,131248
hyrax,26,691560.0,3474.0,549.0,262320
